team_id,team,reference_team,tricode,flag,confederation,startDate,endDate,member,base,base_off,base_def,priority,points,points_off,points_def
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
382,Afghanistan,Afghanistan,AFG,afghanistan_18.png,AFC,1980-04-21,1987-11-28,1.0,4148.0,4538,4216,5.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
383,Afghanistan,Afghanistan,AFG,afghanistan_19.png,AFC,1987-11-29,1992-04-25,1.0,4148.0,4538,4216,6.0,4289,4556,4439
384,Afghanistan,Afghanistan,AFG,afghanistan_20.png,AFC,1992-04-26,1992-12-05,1.0,4148.0,4538,4216,7.0,4289,4556,4439
384,Afghanistan,Afghanistan,AFG,afghanistan_20.png,AFC,1992-04-26,1992-12-05,1.0,4148.0,4538,4216,7.0,4289,4556,4439
384,Afghanistan,Afghanistan,AFG,afghanistan_20.png,AFC,1992-04-26,1992-12-05,1.0,4148.0,4538,4216,7.0,4289,4556,4439
384,Afghanistan,Afghanistan,AFG,afghanistan_20.png,AFC,1992-04-26,1992-12-05,1.0,4148.0,4538,4216,7.0,4289,4556,4439
384,Afghanistan,Afghanistan,AFG,afghanistan_20.png,AFC,1992-04-26,1992-12-05,1.0,4148.0,4538,4216,7.0,4289,4556,4439
384,Afghanistan,Afghanistan,AFG,afghanistan_20.png,AFC,1992-04-26,1992-12-05,1.0,4148.0,4538,4216,7.0,4289,4556,4439
384,Afghanistan,Afghanistan,AFG,afghanistan_20.png,AFC,1992-04-26,1992-12-05,1.0,4148.0,4538,4216,7.0,4289,4556,4439
384,Afghanistan,Afghanistan,AFG,afghanistan_20.png,AFC,1992-04-26,1992-12-05,1.0,4148.0,4538,4216,7.0,4289,4556,4439
384,Afghanistan,Afghanistan,AFG,afghanistan_20.png,AFC,1992-04-26,1992-12-05,1.0,4148.0,4538,4216,7.0,4289,4556,4439
384,Afghanistan,Afghanistan,AFG,afghanistan_20.png,AFC,1992-04-26,1992-12-05,1.0,4148.0,4538,4216,7.0,4289,4556,4439
